id,keywords,query,num_altered,altered_ids
3fdfe506da22acaa,"[""['fish']""]","A fish",3,"['3fdfe506da22acaa_m0ch_cf_00434cf6_OpenImages_StableDiffusion_XL', '3fdfe506da22acaa_m0ch_cf_f626de23_OpenImages_StableDiffusion_v5', '3fdfe506da22acaa_m0ch_cf_484255f6_OpenImages_StableDiffusion_XL']"
f509159922bd5baa,"[""['bottle']""]","A bottle",3,"['f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney', 'f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_Kandinsky_2_2', 'f509159922bd5baa_m04dr76w_5f100e1e_OpenImages_Kandinsky_2_2']"
86401ad43b4f7652,"[""['horse', 'bull']""]","A horse",4,"['86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney', '86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_Kandinsky_2_2', '86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_StableDiffusion_v4', '86401ad43b4f7652_m03k3r_03b30a42_OpenImages_StableDiffusion_v5']"
91326dc604d416d7,"[""['cowboy hat']""]","A cowboy hat",6,"['91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5', '91326dc604d416d7_m025rp___09b2ec4b_OpenImages_StableDiffusion_XL', '91326dc604d416d7_m025rp___4b2e5b21_OpenImages_StableDiffusion_XL', '91326dc604d416d7_m025rp___7d611efd_OpenImages_StableDiffusion_XL', '91326dc604d416d7_m025rp___1089e465_OpenImages_OpenJourney', '91326dc604d416d7_m025rp___1089e465_OpenImages_StableDiffusion_v4']"
b2916bddaa2d55eb,"[""['cookie']""]","A cooky",12,"['b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5', 'b2916bddaa2d55eb_m021mn_01c63ee5_OpenImages_StableDiffusion_XL', 'b2916bddaa2d55eb_m021mn_7a072844_OpenImages_Kandinsky_2_2', 'b2916bddaa2d55eb_m021mn_3c1f8fca_OpenImages_OpenJourney', 'b2916bddaa2d55eb_m021mn_c915f16e_OpenImages_StableDiffusion_v4', 'b2916bddaa2d55eb_m021mn_4150ba26_OpenImages_StableDiffusion_XL', 'b2916bddaa2d55eb_m021mn_f459da98_OpenImages_StableDiffusion_v5', 'b2916bddaa2d55eb_m021mn_c915f16e_OpenImages_OpenJourney', 'b2916bddaa2d55eb_m021mn_4150ba26_OpenImages_OpenJourney', 'b2916bddaa2d55eb_m021mn_4150ba26_OpenImages_OpenJourney', 'b2916bddaa2d55eb_m021mn_b5766c02_OpenImages_StableDiffusion_v5', 'b2916bddaa2d55eb_m021mn_f459da98_OpenImages_Kandinsky_2_2']"
c861036dc15f8bca,"[""['zucchini']""]","A zucchini",4,"['c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5', 'c861036dc15f8bca_m027pcv_f78eb5a0_OpenImages_StableDiffusion_v4', 'c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_XL', 'c861036dc15f8bca_m027pcv_7bb9332c_OpenImages_StableDiffusion_v5']"
001a695ad732152b,"[""['sun hat']""]","A sun hat",3,"['001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4', '001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4', '001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_OpenJourney']"
fd280d46f9488014,"[""['dress']""]","A dress",3,"['fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney', 'fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_StableDiffusion_XL', 'fd280d46f9488014_m01d40f_98ec7f76_OpenImages_StableDiffusion_XL']"
f820c39c5300de83,"[""['shorts', 'volleyball (ball)', 'woman']""]","A woman wearing shorts playing volleyball",4,"['f820c39c5300de83_m03bt1vf_aaed1c4e_OpenImages_StableDiffusion_v5', 'f820c39c5300de83_m01bfm9_644e6684_OpenImages_Kandinsky_2_2', 'f820c39c5300de83_m01bfm9_56103eb9_OpenImages_OpenJourney', 'f820c39c5300de83_m01bfm9_644e6684_OpenImages_Kandinsky_2_2']"
2ab74cc6cebb34d4,"[""['giraffe']""]","A giraffe",3,"['2ab74cc6cebb34d4_m03bk1_a6a7b405_OpenImages_StableDiffusion_v4', '2ab74cc6cebb34d4_m03bk1_a6a7b405_OpenImages_Kandinsky_2_2', '2ab74cc6cebb34d4_m03bk1_a6a7b405_OpenImages_StableDiffusion_v5']"
9c226d0fe33db772,"[""['rose']""]","A rose",4,"['9c226d0fe33db772_m06m11_bf150c2d_OpenImages_OpenJourney', '9c226d0fe33db772_m06m11_fb517060_OpenImages_StableDiffusion_v5', '9c226d0fe33db772_m06m11_bf150c2d_OpenImages_StableDiffusion_v5', '9c226d0fe33db772_m06m11_bf150c2d_OpenImages_StableDiffusion_v4']"
39cb2cc53e4b218d,"[""['tart']""]","A tart",3,"['39cb2cc53e4b218d_m02zvsm_bb92b9fb_OpenImages_StableDiffusion_v4', '39cb2cc53e4b218d_m02zvsm_bb92b9fb_OpenImages_StableDiffusion_v4', '39cb2cc53e4b218d_m02zvsm_bb92b9fb_OpenImages_StableDiffusion_XL']"
d5e7c31e225379d9,"[""['burrito']""]","A burrito",3,"['d5e7c31e225379d9_m01j3zr_e55ecfc4_OpenImages_StableDiffusion_XL', 'd5e7c31e225379d9_m01j3zr_9287fafd_OpenImages_Kandinsky_2_2', 'd5e7c31e225379d9_m01j3zr_769bfbcd_OpenImages_Kandinsky_2_2']"
5fdedcd2143479b3,"[""['saucer', 'coffee cup', 'bread']""]","Bread and a coffee cup on a saucer",4,"['5fdedcd2143479b3_m02p5f1q_b6d40b99_OpenImages_StableDiffusion_v4', '5fdedcd2143479b3_m03q5c7_1b9393dd_OpenImages_StableDiffusion_XL', '5fdedcd2143479b3_m02p5f1q_b6d40b99_OpenImages_StableDiffusion_v4', '5fdedcd2143479b3_m03q5c7_963c0ff3_OpenImages_StableDiffusion_v4']"
5f2c6ffc9d36ed35,"[""['hamburger', 'bread']""]","A hamburger on bread",8,"['5f2c6ffc9d36ed35_m09728_59f3b122_OpenImages_OpenJourney', '5f2c6ffc9d36ed35_m0cdn1_cb8760ab_OpenImages_StableDiffusion_v4', '5f2c6ffc9d36ed35_m0cdn1_0819a50f_OpenImages_StableDiffusion_XL', '5f2c6ffc9d36ed35_m09728_b53f3724_OpenImages_StableDiffusion_v4', '5f2c6ffc9d36ed35_m09728_c428c1a0_OpenImages_Kandinsky_2_2', '5f2c6ffc9d36ed35_m09728_23623368_OpenImages_StableDiffusion_XL', '5f2c6ffc9d36ed35_m0cdn1_cb8760ab_OpenImages_StableDiffusion_XL', '5f2c6ffc9d36ed35_m09728_8edbae46_OpenImages_StableDiffusion_v5']"
