,image_id,image_path,ratio_category,entities,label,og_image
3,3fdfe506da22acaa,original/images/OpenImages/3fdfe506da22acaa.jpg,,['fish'],real,
4,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,bin2,['bottle'],fake,f509159922bd5baa
6,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/woman_++
.jpeg",bin5,"['horse', 'bull']",fake,86401ad43b4f7652
10,91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_a_bustling_kitchen.jpeg,bin3,['cowboy hat'],fake,91326dc604d416d7
13,f509159922bd5baa,original/images/OpenImages/f509159922bd5baa.jpg,,['bottle'],real,
25,b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/small.jpeg,bin3,['cookie'],fake,b2916bddaa2d55eb
32,c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_the_misty_rain.jpeg,bin1,['zucchini'],fake,c861036dc15f8bca
42,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/oranges.jpeg,bin5,['sun hat'],fake,001a695ad732152b
51,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_desert.jpeg,bin5,['dress'],fake,fd280d46f9488014
62,f820c39c5300de83,original/images/OpenImages/f820c39c5300de83.jpg,,"['shorts', 'volleyball (ball)', 'woman']",real,
80,9c226d0fe33db772_m06m11_bf150c2d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/curious.jpeg,bin4,['rose'],fake,9c226d0fe33db772
81,39cb2cc53e4b218d_m02zvsm_bb92b9fb_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/man.jpeg,bin5,['tart'],fake,39cb2cc53e4b218d
88,d5e7c31e225379d9,original/images/OpenImages/d5e7c31e225379d9.jpg,,['burrito'],real,
99,5fdedcd2143479b3_m02p5f1q_b6d40b99_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/cat_curling_up_next_to_it.jpeg,bin3,"['saucer', 'coffee cup', 'bread']",fake,5fdedcd2143479b3
105,5f2c6ffc9d36ed35_m09728_59f3b122_OpenImages_OpenJourney,p2p/OpenImages/SDv4/enclosure.jpeg,bin2,"['hamburger', 'bread']",fake,5f2c6ffc9d36ed35
109,5f2c6ffc9d36ed35,original/images/OpenImages/5f2c6ffc9d36ed35.jpg,,"['hamburger', 'bread']",real,
113,e3ca083901d78d37_m03fwl_e729982c_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/concrete_floor.jpeg,bin3,"['sheep', 'goat']",fake,e3ca083901d78d37
121,74b714ee6721e879_m0hf58v5_c3daf51e_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/desk_in_a_busy_office.jpeg,bin1,"['luggage and bags', 'girl']",fake,74b714ee6721e879
131,74563583796dcea3_m08pbxl_b579067d_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/an_edgy_man_with.jpeg,bin5,['monkey'],fake,74563583796dcea3
156,7836e79ccd8a924a_m02p0tk3_d1c86e37_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/illuminated_only_by_leds.jpeg,bin3,"['human body', 'horse', 'bull']",fake,7836e79ccd8a924a
164,38776582a81af18f_m0138tl_c7c6ad6a_OpenImages_StableDiffusion_XL,p2p/CelebAHQ/SDv4/fashionable.jpeg,bin5,"['christmas tree', 'toy']",fake,38776582a81af18f
175,74b714ee6721e879_m0hf58v5_1c57b3c7_OpenImages_OpenJourney,p2p/OpenImages/SDv4/on_a_foggy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak_on_a_windy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak_on_a_stormy_day_a_photo_of_a_close_up_of_a_bird_with_a_very_big_beak.jpeg,bin3,"['luggage and bags', 'girl']",fake,74b714ee6721e879
