,image_id,image_path,ratio_category,entities,label,og_image
1,f2e1eb0a1aae36e1,original/images/OpenImages/f2e1eb0a1aae36e1.jpg,,['carnivore'],real,
3,3fdfe506da22acaa,original/images/OpenImages/3fdfe506da22acaa.jpg,,['fish'],real,
4,f509159922bd5baa_m04dr76w_c5a9a2d9_OpenImages_OpenJourney,p2p/OpenImages/SDv4/at_an_airport.jpeg,bin2,['bottle'],fake,f509159922bd5baa
6,86401ad43b4f7652_m0cnyhnx_ca4b7e93_OpenImages_OpenJourney,"p2p/OpenImages/SDv4/woman_++
.jpeg",bin5,"['horse', 'bull']",fake,86401ad43b4f7652
9,02ff509712130d4b,original/images/OpenImages/02ff509712130d4b.jpg,,['piano'],real,
10,91326dc604d416d7_m025rp___512185c4_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_a_bustling_kitchen.jpeg,bin3,['cowboy hat'],fake,91326dc604d416d7
13,f509159922bd5baa,original/images/OpenImages/f509159922bd5baa.jpg,,['bottle'],real,
14,532f43afe859ead9,original/images/OpenImages/532f43afe859ead9.jpg,,,real,
16,4d0f3223700e6099,original/images/OpenImages/4d0f3223700e6099.jpg,,['otter'],real,
20,0bf80b98b70d97f0,original/images/OpenImages/0bf80b98b70d97f0.jpg,,['shorts'],real,
25,b2916bddaa2d55eb_m021mn_89c7afa6_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/small.jpeg,bin3,['cookie'],fake,b2916bddaa2d55eb
26,8d6d26f53d3f9872,original/images/OpenImages/8d6d26f53d3f9872.jpg,,,real,
28,f5fa0cf9a280d101,original/images/OpenImages/f5fa0cf9a280d101.jpg,,['flower'],real,
29,10e14ddf2ff2819a,original/images/OpenImages/10e14ddf2ff2819a.jpg,,"['tortoise', 'sea turtle']",real,
32,c861036dc15f8bca_m027pcv_3dde2a0c_OpenImages_StableDiffusion_v5,p2p/OpenImages/SDv5/in_the_misty_rain.jpeg,bin1,['zucchini'],fake,c861036dc15f8bca
35,a117028b816da528,original/images/OpenImages/a117028b816da528.jpg,,"['platter', 'bowl']",real,
37,8b502818168a734a,original/images/OpenImages/8b502818168a734a.jpg,,['tie'],real,
40,f780908e3797adb6,original/images/OpenImages/f780908e3797adb6.jpg,,"['suit', 'dress', 'shirt']",real,
42,001a695ad732152b_m02wbtzl_9b6e60b8_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/oranges.jpeg,bin5,['sun hat'],fake,001a695ad732152b
46,645922562d3de125,original/images/OpenImages/645922562d3de125.jpg,,['horse'],real,
51,fd280d46f9488014_m01d40f_41bb8e2e_OpenImages_OpenJourney,p2p/OpenImages/SDv4/in_a_desert.jpeg,bin5,['dress'],fake,fd280d46f9488014
52,07b81f894c061c5a,original/images/OpenImages/07b81f894c061c5a.jpg,,,real,
58,35954284dc74566f,original/images/OpenImages/35954284dc74566f.jpg,,,real,
61,ec4fa472adcc9bce,original/images/OpenImages/ec4fa472adcc9bce.jpg,,"['woman', 'scarf']",real,
62,f820c39c5300de83,original/images/OpenImages/f820c39c5300de83.jpg,,"['shorts', 'volleyball (ball)', 'woman']",real,
65,5f37fed076b23ba7,original/images/OpenImages/5f37fed076b23ba7.jpg,,['coffee (drink)'],real,
67,0889d6e03b2c4ecc,original/images/OpenImages/0889d6e03b2c4ecc.jpg,,,real,
68,9856bd4e230ed3d8,original/images/OpenImages/9856bd4e230ed3d8.jpg,,"['goose', 'swan']",real,
71,730c64e9e316a417,original/images/OpenImages/730c64e9e316a417.jpg,,,real,
72,f1b7d6cc0c4fa054,original/images/OpenImages/f1b7d6cc0c4fa054.jpg,,['monkey'],real,
80,9c226d0fe33db772_m06m11_bf150c2d_OpenImages_OpenJourney,p2p/OpenImages/SDv4/curious.jpeg,bin4,['rose'],fake,9c226d0fe33db772
81,39cb2cc53e4b218d_m02zvsm_bb92b9fb_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/man.jpeg,bin5,['tart'],fake,39cb2cc53e4b218d
83,bf331f50b9113abe,original/images/OpenImages/bf331f50b9113abe.jpg,,"['fedora', 'human body', 'sun hat']",real,
88,d5e7c31e225379d9,original/images/OpenImages/d5e7c31e225379d9.jpg,,['burrito'],real,
91,761d8ed4cb05a785,original/images/OpenImages/761d8ed4cb05a785.jpg,,['drink'],real,
98,a70bc37375d50c80,original/images/OpenImages/a70bc37375d50c80.jpg,,"['camera', 'car']",real,
99,5fdedcd2143479b3_m02p5f1q_b6d40b99_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/cat_curling_up_next_to_it.jpeg,bin3,"['saucer', 'coffee cup', 'bread']",fake,5fdedcd2143479b3
101,fdbe948fdb1ffa29,original/images/OpenImages/fdbe948fdb1ffa29.jpg,,['pillow'],real,
105,5f2c6ffc9d36ed35_m09728_59f3b122_OpenImages_OpenJourney,p2p/OpenImages/SDv4/enclosure.jpeg,bin2,"['hamburger', 'bread']",fake,5f2c6ffc9d36ed35
106,a340f1ae338c5fe4,original/images/OpenImages/a340f1ae338c5fe4.jpg,,['wine'],real,
107,d524268ef002d153,original/images/OpenImages/d524268ef002d153.jpg,,['cocktail'],real,
109,5f2c6ffc9d36ed35,original/images/OpenImages/5f2c6ffc9d36ed35.jpg,,"['hamburger', 'bread']",real,
111,f49435a0391ff427,original/images/OpenImages/f49435a0391ff427.jpg,,['cabbage'],real,
113,e3ca083901d78d37_m03fwl_e729982c_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/concrete_floor.jpeg,bin3,"['sheep', 'goat']",fake,e3ca083901d78d37
117,21994534b2880ace,original/images/OpenImages/21994534b2880ace.jpg,,['toy'],real,
121,74b714ee6721e879_m0hf58v5_c3daf51e_OpenImages_StableDiffusion_v5,p2p/OpenImages/OJ/desk_in_a_busy_office.jpeg,bin1,"['luggage and bags', 'girl']",fake,74b714ee6721e879
123,ab265fa834a808b6,original/images/OpenImages/ab265fa834a808b6.jpg,,,real,
124,70e7aeeba778eba2,original/images/OpenImages/70e7aeeba778eba2.jpg,,['car'],real,
127,e5e1a710107a8d77,original/images/OpenImages/e5e1a710107a8d77.jpg,,['christmas tree'],real,
131,74563583796dcea3_m08pbxl_b579067d_OpenImages_StableDiffusion_v4,p2p/OpenImages/SDv5/an_edgy_man_with.jpeg,bin5,['monkey'],fake,74563583796dcea3
132,ca428a094fb9802a,original/images/OpenImages/ca428a094fb9802a.jpg,,"['bagel', 'doughnut']",real,
134,b44b71f060ba1901,original/images/OpenImages/b44b71f060ba1901.jpg,,,real,
137,798953096bacd737,original/images/OpenImages/798953096bacd737.jpg,,['handgun'],real,
140,0250969655fbe614,original/images/OpenImages/0250969655fbe614.jpg,,,real,
143,1cbeb03e6efca760,original/images/OpenImages/1cbeb03e6efca760.jpg,,['computer mouse'],real,
151,488aa52bca36ce65,original/images/OpenImages/488aa52bca36ce65.jpg,,['flower'],real,
154,a7ec446b72c5f815,original/images/OpenImages/a7ec446b72c5f815.jpg,,"['muffin', 'cake']",real,
155,4426fa0e3b515179,original/images/OpenImages/4426fa0e3b515179.jpg,,"['glove', 'hat']",real,
156,7836e79ccd8a924a_m02p0tk3_d1c86e37_OpenImages_StableDiffusion_XL,p2p/ADE20K/OJ/illuminated_only_by_leds.jpeg,bin3,"['human body', 'horse', 'bull']",fake,7836e79ccd8a924a
160,a07eacec0f69ba3d,original/images/OpenImages/a07eacec0f69ba3d.jpg,,"['cowboy hat', 'horse']",real,
163,3e7d4f598d539875,original/images/OpenImages/3e7d4f598d539875.jpg,,['horse'],real,
164,38776582a81af18f_m0138tl_c7c6ad6a_OpenImages_StableDiffusion_XL,p2p/CelebAHQ/SDv4/fashionable.jpeg,bin5,"['christmas tree', 'toy']",fake,38776582a81af18f
167,7f9bf2889263646f,original/images/OpenImages/7f9bf2889263646f.jpg,,,real,
168,207d46ca53c7165b,original/images/OpenImages/207d46ca53c7165b.jpg,,['dress'],real,
171,07582e7634830689,original/images/OpenImages/07582e7634830689.jpg,,"['suit', 'tie']",real,
173,f5c2136ad79bda0a,original/images/OpenImages/f5c2136ad79bda0a.jpg,,,real,
